#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-29786B2AF3A3EC6A-F9902B122AF7F8B
#datatype	hitsStandard Results
#status	0
#Start time	2017-01-17T13:11:04	Run time	0:00:04:59
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#4 - >Q5ZYA6_LEGPH	superfamily	280576	297	483	2.43238e-73	231.948	cl20232	PYC_OADA superfamily	 - 	 - 
Q#4 - >Q5ZYA6_LEGPH	specific	133459	538	599	3.05262e-28	105.961	cd06850	biotinyl_domain	 - 	cl11404
Q#4 - >Q5ZYA6_LEGPH	superfamily	299706	538	599	3.05262e-28	105.961	cl11404	Biotinyl_lipoyl_domains superfamily	 - 	 - 
Q#4 - >Q5ZYA6_LEGPH	specific	278778	527	599	1.62367e-19	81.4996	pfam00364	Biotin_lipoyl	 - 	cl11404
Q#4 - >Q5ZYA6_LEGPH	non-specific	181304	534	600	1.49365e-15	70.2013	PRK08225	PRK08225	 - 	cl11404
Q#4 - >Q5ZYA6_LEGPH	non-specific	180206	135	282	1.99045e-06	48.3444	PRK05692	PRK05692	N	cl21457
Q#4 - >Q5ZYA6_LEGPH	non-specific	223583	528	582	0.00012416	40.7198	COG0509	GcvH	C	cl11404
Q#4 - >Q5ZYA6_LEGPH	non-specific	200024	532	582	0.000196866	40.204	TIGR00527	gcvH	NC	cl11404
Q#4 - >Q5ZYA6_LEGPH	multi-dom	172536	7	602	0	1246.15	PRK14042	PRK14042	 - 	 - 
Q#4 - >Q5ZYA6_LEGPH	multi-dom	273447	12	596	0	999.691	TIGR01108	oadA	 - 	 - 
Q#4 - >Q5ZYA6_LEGPH	multi-dom	227349	7	456	0	751.484	COG5016	OadA1	 - 	 - 
Q#4 - >Q5ZYA6_LEGPH	multi-dom	279072	12	275	3.42284e-45	159.78	pfam00682	HMGL-like	 - 	 - 
Q#5 - >Q5ZYA5_LEGPH	specific	189004	270	535	1.74861e-91	280.33	cd09597	M4_neutral_protease	 - 	cl14813
Q#5 - >Q5ZYA5_LEGPH	superfamily	301352	270	535	1.74861e-91	280.33	cl14813	GluZincin superfamily	 - 	 - 
Q#5 - >Q5ZYA5_LEGPH	specific	280943	388	535	3.19928e-51	171.655	pfam02868	Peptidase_M4_C	 - 	cl03750
Q#5 - >Q5ZYA5_LEGPH	superfamily	280943	388	535	3.19928e-51	171.655	cl03750	Peptidase_M4_C superfamily	 - 	 - 
Q#5 - >Q5ZYA5_LEGPH	specific	284839	60	94	5.58379e-07	44.7788	pfam07504	FTP	C	cl06509
Q#5 - >Q5ZYA5_LEGPH	superfamily	284839	60	94	5.58379e-07	44.7788	cl06509	FTP superfamily	C	 - 
Q#5 - >Q5ZYA5_LEGPH	multi-dom	225768	7	536	4.06072e-90	284.687	COG3227	LasB	 - 	 - 
Q#6 - >Q5ZYA4_LEGPH	specific	289465	26	115	1.13606e-10	57.3548	pfam12695	Abhydrolase_5	C	cl21494
Q#6 - >Q5ZYA4_LEGPH	superfamily	304388	26	115	1.13606e-10	57.3548	cl21494	Abhydrolase superfamily	C	 - 
Q#6 - >Q5ZYA4_LEGPH	non-specific	236855	30	102	1.54072e-05	43.6743	PRK11126	PRK11126	C	cl21494
Q#6 - >Q5ZYA4_LEGPH	multi-dom	223669	4	278	7.95505e-28	107.406	COG0596	MhpC	 - 	 - 
Q#6 - >Q5ZYA4_LEGPH	multi-dom	278959	25	268	1.05179e-25	100.648	pfam00561	Abhydrolase_1	 - 	 - 
Q#6 - >Q5ZYA4_LEGPH	multi-dom	184875	9	128	1.93383e-17	79.988	PRK14875	PRK14875	NC	 - 
Q#6 - >Q5ZYA4_LEGPH	multi-dom	274729	23	128	2.11442e-15	72.6335	TIGR03695	menH_SHCHC	C	 - 
Q#7 - >Q5ZYA3_LEGPH	non-specific	226098	13	256	6.62602e-53	171.044	COG3568	ElsH	 - 	cl00490
Q#7 - >Q5ZYA3_LEGPH	superfamily	294334	13	256	6.62602e-53	171.044	cl00490	EEP superfamily	 - 	 - 
Q#7 - >Q5ZYA3_LEGPH	specific	281380	17	247	1.23632e-21	88.6349	pfam03372	Exo_endo_phos	 - 	cl00490
Q#7 - >Q5ZYA3_LEGPH	non-specific	197314	15	254	3.45518e-15	71.6059	cd09080	TDP2	 - 	cl00490
Q#7 - >Q5ZYA3_LEGPH	non-specific	235454	45	257	2.42167e-10	58.0291	PRK05421	PRK05421	N	cl00490
Q#8 - >Q5ZYA2_LEGPH	non-specific	188635	4	331	0	503.705	cd00948	FBP_aldolase_I_a	 - 	cl21457
Q#8 - >Q5ZYA2_LEGPH	superfamily	304361	4	331	0	503.705	cl21457	TIM_phosphate_binding superfamily	 - 	 - 
Q#8 - >Q5ZYA2_LEGPH	specific	278692	5	336	2.17483e-178	496.265	pfam00274	Glycolytic	 - 	cl21457
Q#8 - >Q5ZYA2_LEGPH	non-specific	240231	4	332	7.99814e-158	444.538	PTZ00019	PTZ00019	 - 	cl21457
Q#8 - >Q5ZYA2_LEGPH	specific	226116	4	331	2.649e-134	384.16	COG3588	Fba1	 - 	cl21457
Q#9 - >Q5ZYA1_LEGPH	specific	99792	13	245	1.31231e-76	230.529	cd06195	FNR1	 - 	cl06868
Q#9 - >Q5ZYA1_LEGPH	superfamily	297884	13	245	1.31231e-76	230.529	cl06868	FNR_like superfamily	 - 	 - 
Q#9 - >Q5ZYA1_LEGPH	non-specific	278599	118	224	4.72459e-16	70.3519	pfam00175	NAD_binding_1	 - 	cl23719
Q#9 - >Q5ZYA1_LEGPH	superfamily	304876	118	224	4.72459e-16	70.3519	cl23719	NAD_binding_1 superfamily	 - 	 - 
Q#9 - >Q5ZYA1_LEGPH	multi-dom	223949	8	243	1.37216e-41	141.652	COG1018	Fpr	 - 	 - 
Q#9 - >Q5ZYA1_LEGPH	multi-dom	181058	36	234	4.26524e-27	105.338	PRK07609	PRK07609	N	 - 
Q#9 - >Q5ZYA1_LEGPH	multi-dom	131215	32	245	1.24866e-19	85.2597	TIGR02160	PA_CoA_Oxy5	C	 - 
Q#11 - >Q5ZY99_LEGPH	specific	288928	10	95	1.23705e-42	132.673	pfam12112	DUF3579	 - 	cl13538
Q#11 - >Q5ZY99_LEGPH	superfamily	288928	10	95	1.23705e-42	132.673	cl13538	DUF3579 superfamily	 - 	 - 
Q#12 - >Q5ZY98_LEGPH	non-specific	273098	19	181	9.15725e-29	105.218	TIGR00473	pssA	 - 	cl00453
Q#12 - >Q5ZY98_LEGPH	superfamily	294308	19	181	9.15725e-29	105.218	cl00453	CDP-OH_P_transf superfamily	 - 	 - 
Q#12 - >Q5ZY98_LEGPH	specific	279415	14	77	1.00299e-16	70.6617	pfam01066	CDP-OH_P_transf	 - 	cl00453
Q#12 - >Q5ZY98_LEGPH	non-specific	223632	11	90	1.78089e-05	42.7445	COG0558	PgsA	C	cl00453
Q#12 - >Q5ZY98_LEGPH	multi-dom	224104	10	228	1.27936e-61	192.111	COG1183	PssA	 - 	 - 
Q#12 - >Q5ZY98_LEGPH	multi-dom	211940	14	208	1.08982e-21	88.2686	TIGR04217	archae_ser_T	 - 	 - 
Q#13 - >Q5ZY97_LEGPH	specific	278793	5	82	7.27822e-35	112.481	pfam00381	PTS-HPr	 - 	cl00206
Q#13 - >Q5ZY97_LEGPH	superfamily	294139	5	82	7.27822e-35	112.481	cl00206	PTS-HPr_like superfamily	 - 	 - 
Q#13 - >Q5ZY97_LEGPH	specific	224836	1	88	2.51143e-33	108.81	COG1925	PtsH	 - 	cl00206
Q#13 - >Q5ZY97_LEGPH	specific	238217	5	81	7.47286e-31	102.201	cd00367	PTS-HPr_like	 - 	cl00206
Q#13 - >Q5ZY97_LEGPH	specific	273389	1	82	3.10164e-30	100.801	TIGR01003	PTS_HPr_family	 - 	cl00206
Q#13 - >Q5ZY97_LEGPH	non-specific	172320	1	82	5.14768e-21	77.5144	PRK13782	PRK13782	 - 	cl00206
Q#13 - >Q5ZY97_LEGPH	multi-dom	236849	7	87	1.66192e-15	68.0503	PRK11109	PRK11109	N	 - 
Q#14 - >Q5ZY96_LEGPH	non-specific	182484	1	95	2.67292e-38	122.325	PRK10470	PRK10470	 - 	cl00250
Q#14 - >Q5ZY96_LEGPH	superfamily	294178	1	95	2.67292e-38	122.325	cl00250	RaiA superfamily	 - 	 - 
Q#14 - >Q5ZY96_LEGPH	specific	129824	1	95	1.32308e-35	115.505	TIGR00741	yfiA	 - 	cl00250
Q#14 - >Q5ZY96_LEGPH	specific	238308	2	91	1.96328e-33	109.912	cd00552	RaiA	 - 	cl00250
Q#14 - >Q5ZY96_LEGPH	specific	224461	1	96	1.39725e-31	105.805	COG1544	RaiA	 - 	cl00250
Q#14 - >Q5ZY96_LEGPH	specific	280619	3	92	1.57819e-31	104.906	pfam02482	Ribosomal_S30AE	 - 	cl00250
Q#15 - >Q5ZY95_LEGPH	specific	282419	303	460	8.4478e-95	281.812	pfam04552	Sigma54_DBD	 - 	cl10632
Q#15 - >Q5ZY95_LEGPH	superfamily	282419	303	460	8.4478e-95	281.812	cl10632	Sigma54_DBD superfamily	 - 	 - 
Q#15 - >Q5ZY95_LEGPH	specific	282776	93	289	4.76734e-73	226.96	pfam04963	Sigma54_CBD	 - 	cl04864
Q#15 - >Q5ZY95_LEGPH	superfamily	282776	93	289	4.76734e-73	226.96	cl04864	Sigma54_CBD superfamily	 - 	 - 
Q#15 - >Q5ZY95_LEGPH	specific	278725	11	48	3.20733e-12	59.253	pfam00309	Sigma54_AID	 - 	cl08259
Q#15 - >Q5ZY95_LEGPH	superfamily	278725	11	48	3.20733e-12	59.253	cl08259	Sigma54_AID superfamily	 - 	 - 
Q#15 - >Q5ZY95_LEGPH	non-specific	269981	383	439	0.000900971	37.6964	cd13159	PTB_LDLRAP-mammal-like	C	cl17171
Q#15 - >Q5ZY95_LEGPH	superfamily	302622	383	439	0.000900971	37.6964	cl17171	PH-like superfamily	C	 - 
Q#15 - >Q5ZY95_LEGPH	multi-dom	235648	1	462	0	659.579	PRK05932	PRK05932	 - 	 - 
Q#15 - >Q5ZY95_LEGPH	multi-dom	224425	1	460	0	521.512	COG1508	RpoN	 - 	 - 
Q#15 - >Q5ZY95_LEGPH	multi-dom	274109	9	460	2.24879e-168	479.482	TIGR02395	rpoN_sigma	 - 	 - 
Q#16 - >RL33_LEGPH	specific	179075	1	52	9.64319e-19	69.4549	PRK00595	rpmG	 - 	cl00383
Q#16 - >RL33_LEGPH	superfamily	294271	1	52	9.64319e-19	69.4549	cl00383	Ribosomal_L33 superfamily	 - 	 - 
Q#16 - >RL33_LEGPH	specific	278875	6	52	4.2296e-18	67.8204	pfam00471	Ribosomal_L33	 - 	cl00383
Q#16 - >RL33_LEGPH	specific	223345	6	52	2.29829e-13	55.7331	COG0267	RpmG	 - 	cl00383
Q#16 - >RL33_LEGPH	specific	273399	5	52	1.07293e-12	54.3784	TIGR01023	rpmG_bact	 - 	cl00383
Q#17 - >RL28_LEGPH	specific	234736	1	76	1.42844e-38	121.103	PRK00359	rpmB	 - 	cl00367
Q#17 - >RL28_LEGPH	superfamily	294261	1	76	1.42844e-38	121.103	cl00367	Ribosomal_L28 superfamily	 - 	 - 
Q#17 - >RL28_LEGPH	specific	223305	1	76	1.24952e-30	101.234	COG0227	RpmB	 - 	cl00367
Q#17 - >RL28_LEGPH	specific	279203	3	60	6.23467e-27	91.2883	pfam00830	Ribosomal_L28	 - 	cl00367
Q#17 - >RL28_LEGPH	specific	272851	1	58	9.02007e-22	78.4521	TIGR00009	L28	 - 	cl00367
Q#19 - >TRMB_LEGPH	specific	280538	51	221	4.51192e-68	205.602	pfam02390	Methyltransf_4	 - 	cl17173
Q#19 - >TRMB_LEGPH	superfamily	302624	51	221	4.51192e-68	205.602	cl17173	AdoMet_MTases superfamily	 - 	 - 
Q#19 - >TRMB_LEGPH	non-specific	161703	43	226	1.30885e-65	199.895	TIGR00091	TIGR00091	 - 	cl17173
Q#19 - >TRMB_LEGPH	non-specific	237615	42	174	2.92457e-18	80.774	PRK14121	PRK14121	NC	cl17173
Q#19 - >TRMB_LEGPH	multi-dom	234649	6	214	2.75372e-89	260.479	PRK00121	trmB	 - 	 - 
Q#19 - >TRMB_LEGPH	multi-dom	223298	4	226	8.56885e-83	244.899	COG0220	TrmB	 - 	 - 
Q#20 - >Q5ZY90_LEGPH	specific	193532	36	373	2.61839e-143	409.145	cd05656	M42_Frv	 - 	cl14876
Q#20 - >Q5ZY90_LEGPH	superfamily	301362	36	373	2.61839e-143	409.145	cl14876	Zinc_peptidase_like superfamily	 - 	 - 
Q#20 - >Q5ZY90_LEGPH	specific	224282	35	385	1.00516e-115	339.579	COG1363	FrvX	 - 	cl14876
Q#20 - >Q5ZY90_LEGPH	specific	283094	75	368	5.34005e-101	299.865	pfam05343	Peptidase_M42	 - 	cl14876
Q#20 - >Q5ZY90_LEGPH	non-specific	182170	34	385	9.41585e-78	242.35	PRK09961	PRK09961	 - 	cl14876
Q#20 - >Q5ZY90_LEGPH	non-specific	132151	40	385	1.2703e-66	213.906	TIGR03107	glu_aminopep	 - 	cl14876
Q#20 - >Q5ZY90_LEGPH	multi-dom	183836	36	100	4.84086e-06	46.8569	PRK13004	PRK13004	C	 - 
Q#20 - >Q5ZY90_LEGPH	multi-dom	132565	32	101	0.000234896	41.3225	TIGR03526	selenium_YgeY	C	 - 
Q#21 - >Q5ZY89_LEGPH	specific	238125	146	246	3.49543e-05	41.9855	cd00204	ANK	N	cl02529
Q#21 - >Q5ZY89_LEGPH	superfamily	295348	146	246	3.49543e-05	41.9855	cl02529	ANK superfamily	N	 - 
Q#21 - >Q5ZY89_LEGPH	non-specific	285267	56	140	0.00245127	38.3429	pfam07993	NAD_binding_4	NC	cl21454
Q#21 - >Q5ZY89_LEGPH	superfamily	304358	56	140	0.00245127	38.3429	cl21454	NADB_Rossmann superfamily	NC	 - 
Q#22 - >Q5ZY88_LEGPH	specific	259802	61	318	1.14275e-121	351.045	cd03404	SPFH_HflK	 - 	cl19107
Q#22 - >Q5ZY88_LEGPH	superfamily	302763	61	318	1.14275e-121	351.045	cl19107	SPFH_like superfamily	 - 	 - 
Q#22 - >Q5ZY88_LEGPH	specific	279486	75	249	1.54636e-25	100.096	pfam01145	Band_7	 - 	cl19107
Q#22 - >Q5ZY88_LEGPH	specific	289025	3	40	1.66085e-11	57.3122	pfam12221	HflK_N	 - 	cl13631
Q#22 - >Q5ZY88_LEGPH	superfamily	289025	3	40	1.66085e-11	57.3122	cl13631	HflK_N superfamily	 - 	 - 
Q#22 - >Q5ZY88_LEGPH	multi-dom	130988	74	326	2.20421e-109	319.732	TIGR01933	hflK	 - 	 - 
Q#22 - >Q5ZY88_LEGPH	multi-dom	236799	1	326	1.44031e-97	295.198	PRK10930	PRK10930	 - 	 - 
Q#22 - >Q5ZY88_LEGPH	multi-dom	223407	56	321	4.51896e-58	189.576	COG0330	HflC	 - 	 - 
Q#22 - >Q5ZY88_LEGPH	multi-dom	214581	72	230	2.4939e-26	101.968	smart00244	PHB	 - 	 - 
Q#23 - >Q5ZY87_LEGPH	specific	259803	24	280	9.82049e-114	327.523	cd03405	SPFH_HflC	 - 	cl19107
Q#23 - >Q5ZY87_LEGPH	superfamily	302763	24	280	9.82049e-114	327.523	cl19107	SPFH_like superfamily	 - 	 - 
Q#23 - >Q5ZY87_LEGPH	specific	279486	26	210	9.35074e-37	128.216	pfam01145	Band_7	 - 	cl19107
Q#23 - >Q5ZY87_LEGPH	multi-dom	182913	23	293	3.13907e-96	286.252	PRK11029	PRK11029	 - 	 - 
Q#23 - >Q5ZY87_LEGPH	multi-dom	273883	23	293	2.77597e-85	257.791	TIGR01932	hflC	 - 	 - 
Q#23 - >Q5ZY87_LEGPH	multi-dom	223407	23	287	2.31803e-56	182.643	COG0330	HflC	 - 	 - 
Q#23 - >Q5ZY87_LEGPH	multi-dom	214581	26	193	8.63577e-35	122.769	smart00244	PHB	 - 	 - 
Q#24 - >PURA_LEGPH	specific	234904	2	430	0	818.131	PRK01117	PRK01117	 - 	cl21455
Q#24 - >PURA_LEGPH	superfamily	304359	2	430	0	818.131	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#24 - >PURA_LEGPH	specific	279098	6	424	0	746.875	pfam00709	Adenylsucc_synt	 - 	cl21455
Q#24 - >PURA_LEGPH	specific	197875	4	424	0	734.286	smart00788	Adenylsucc_synt	 - 	cl21455
Q#24 - >PURA_LEGPH	specific	223182	2	430	0	699.763	COG0104	PurA	 - 	cl21455
Q#24 - >PURA_LEGPH	specific	272949	6	431	0	615.71	TIGR00184	purA	 - 	cl21455
Q#24 - >PURA_LEGPH	specific	239382	4	418	0	597.184	cd03108	AdSS	 - 	cl21455
Q#25 - >Q5ZY85_LEGPH	non-specific	227840	12	171	6.06153e-22	86.9413	COG5553	COG5553	 - 	cl21464
Q#25 - >Q5ZY85_LEGPH	superfamily	304367	12	171	6.06153e-22	86.9413	cl21464	cupin_like superfamily	 - 	 - 
Q#25 - >Q5ZY85_LEGPH	non-specific	284254	120	156	0.00901405	32.3829	pfam06786	UPF0253	C	cl23916
Q#25 - >Q5ZY85_LEGPH	superfamily	305073	120	156	0.00901405	32.3829	cl23916	UPF0253 superfamily	C	 - 
Q#26 - >Q5ZY84_LEGPH	non-specific	290319	59	142	1.21615e-14	63.5348	pfam13586	DDE_Tnp_1_2	 - 	cl21562
Q#26 - >Q5ZY84_LEGPH	superfamily	304434	59	142	1.21615e-14	63.5348	cl21562	DDE_Tnp_4 superfamily	 - 	 - 
Q#26 - >Q5ZY84_LEGPH	multi-dom	279886	8	139	4.44458e-19	77.6382	pfam01609	DDE_Tnp_1	 - 	 - 
Q#26 - >Q5ZY84_LEGPH	multi-dom	225830	16	142	6.75524e-11	54.7894	COG3293	COG3293	 - 	 - 
Q#27 - >Q5ZY83_LEGPH	specific	198395	4	90	2.62877e-49	149.568	cd10448	GIY-YIG_unchar_3	 - 	cl15257
Q#27 - >Q5ZY83_LEGPH	superfamily	301590	4	90	2.62877e-49	149.568	cl15257	GIY-YIG_SF superfamily	 - 	 - 
Q#27 - >Q5ZY83_LEGPH	specific	225383	1	92	2.64361e-34	112.036	COG2827	YhbQ	 - 	cl15257
Q#27 - >Q5ZY83_LEGPH	specific	279831	4	78	1.494e-11	53.8878	pfam01541	GIY-YIG	 - 	cl15257
Q#27 - >Q5ZY83_LEGPH	non-specific	178979	1	82	1.44243e-06	41.06	PRK00329	PRK00329	 - 	cl15257
Q#27 - >Q5ZY83_LEGPH	specific	214677	4	73	0.00198402	32.7784	smart00465	GIYc	 - 	cl15257
Q#28 - >Q5ZY82_LEGPH	specific	280938	22	96	1.42864e-16	66.6406	pfam02863	Arg_repressor_C	 - 	cl03747
Q#28 - >Q5ZY82_LEGPH	superfamily	280938	22	96	1.42864e-16	66.6406	cl03747	Arg_repressor_C superfamily	 - 	 - 
Q#28 - >Q5ZY82_LEGPH	multi-dom	224355	22	102	1.03647e-12	58.7789	COG1438	ArgR	N	 - 
Q#28 - >Q5ZY82_LEGPH	multi-dom	130592	22	102	3.94871e-09	49.248	TIGR01529	argR_whole	N	 - 
Q#28 - >Q5ZY82_LEGPH	multi-dom	235116	33	80	4.2907e-09	49.6361	PRK03341	PRK03341	N	 - 
Q#29 - >Q5ZY81_LEGPH	specific	270248	27	239	1.09356e-72	219.429	cd13530	PBP2_peptides_like	 - 	cl21456
Q#29 - >Q5ZY81_LEGPH	superfamily	304360	27	239	1.09356e-72	219.429	cl21456	Periplasmic_Binding_Protein_Type_2 superfamily	 - 	 - 
Q#29 - >Q5ZY81_LEGPH	non-specific	197504	203	242	1.06104e-09	53.8325	smart00079	PBPe	N	cl21456
Q#29 - >Q5ZY81_LEGPH	non-specific	287570	32	117	2.12531e-08	49.7858	pfam10613	Lig_chan-Glu_bd	 - 	cl21456
Q#29 - >Q5ZY81_LEGPH	multi-dom	278898	28	240	2.8149e-64	198.291	pfam00497	SBP_bac_3	 - 	 - 
Q#29 - >Q5ZY81_LEGPH	multi-dom	214497	27	240	2.73806e-59	185.61	smart00062	PBPb	 - 	 - 
Q#29 - >Q5ZY81_LEGPH	multi-dom	223904	23	244	1.24654e-47	157.472	COG0834	HisJ	 - 	 - 
Q#29 - >Q5ZY81_LEGPH	multi-dom	183061	20	239	7.16024e-46	152.569	PRK11260	PRK11260	 - 	 - 
Q#29 - >Q5ZY81_LEGPH	multi-dom	273440	27	240	6.47449e-42	142.111	TIGR01096	3A0103s03R	 - 	 - 
Q#30 - >Q5ZY80_LEGPH	non-specific	182979	23	214	1.75734e-25	98.2108	PRK11123	PRK11123	 - 	cl00427
Q#30 - >Q5ZY80_LEGPH	superfamily	294296	23	214	1.75734e-25	98.2108	cl00427	TM_PBP2 superfamily	 - 	 - 
Q#30 - >Q5ZY80_LEGPH	non-specific	130787	13	110	1.2614e-16	71.0243	TIGR01726	HEQRo_perm_3TM	 - 	cl00427
Q#30 - >Q5ZY80_LEGPH	specific	119394	21	204	7.13553e-15	68.8444	cd06261	TM_PBP2	 - 	cl00427
Q#30 - >Q5ZY80_LEGPH	specific	278929	35	214	1.14459e-09	54.2174	pfam00528	BPD_transp_1	 - 	cl00427
Q#30 - >Q5ZY80_LEGPH	non-specific	224922	31	169	0.000340596	39.0862	COG2011	MetP	C	cl00427
Q#30 - >Q5ZY80_LEGPH	multi-dom	223836	12	214	1.2616e-61	190.793	COG0765	HisM	 - 	 - 
Q#30 - >Q5ZY80_LEGPH	multi-dom	185055	10	214	6.89274e-36	124.862	PRK15100	PRK15100	 - 	 - 
Q#30 - >Q5ZY80_LEGPH	multi-dom	132048	10	214	2.12141e-35	123.425	TIGR03003	ectoine_ehuD	 - 	 - 
Q#31 - >Q5ZY79_LEGPH	specific	213196	2	196	2.25865e-72	216.284	cd03229	ABC_Class3	 - 	cl21455
Q#31 - >Q5ZY79_LEGPH	superfamily	304359	2	196	2.25865e-72	216.284	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#31 - >Q5ZY79_LEGPH	specific	278435	17	148	4.97562e-44	143.56	pfam00005	ABC_tran	 - 	cl21455
Q#31 - >Q5ZY79_LEGPH	non-specific	273491	16	153	8.60082e-19	79.3249	TIGR01189	ccmA	 - 	cl21455
Q#31 - >Q5ZY79_LEGPH	non-specific	184127	1	177	5.91375e-14	66.5122	PRK13540	PRK13540	 - 	cl21455
Q#31 - >Q5ZY79_LEGPH	non-specific	224677	29	50	0.00644725	34.6232	COG1763	MobB	C	cl21455
Q#31 - >Q5ZY79_LEGPH	multi-dom	224051	1	200	3.7883e-84	248.577	COG1126	GlnQ	 - 	 - 
Q#31 - >Q5ZY79_LEGPH	multi-dom	181906	1	218	1.82637e-65	201.09	PRK09493	glnQ	 - 	 - 
Q#31 - >Q5ZY79_LEGPH	multi-dom	131368	1	218	3.70621e-54	172.483	TIGR02315	ABC_phnC	 - 	 - 
Q#31 - >Q5ZY79_LEGPH	multi-dom	214640	27	182	2.55484e-09	52.7609	smart00382	AAA	 - 	 - 
Q#31 - >Q5ZY79_LEGPH	multi-dom	290043	29	183	7.10514e-09	52.2448	pfam13304	AAA_21	 - 	 - 
Q#32 - >ASSY_LEGPH	specific	234785	5	402	0	700.275	PRK00509	PRK00509	 - 	cl00292
Q#32 - >ASSY_LEGPH	superfamily	294206	5	402	0	700.275	cl00292	AANH_like superfamily	 - 	 - 
Q#32 - >ASSY_LEGPH	specific	238957	8	391	0	581.03	cd01999	Argininosuccinate_Synthase	 - 	cl00292
Q#32 - >ASSY_LEGPH	specific	223215	1	402	0	577.996	COG0137	ArgG	 - 	cl00292
Q#32 - >ASSY_LEGPH	non-specific	279148	10	394	0	535.004	pfam00764	Arginosuc_synth	 - 	cl00292
Q#32 - >ASSY_LEGPH	non-specific	199987	7	398	4.6189e-175	492.692	TIGR00032	argG	 - 	cl00292
Q#32 - >ASSY_LEGPH	multi-dom	223115	6	180	1.25382e-06	48.3219	COG0037	TilS	C	 - 
Q#33 - >ARLY_LEGPH	specific	176463	24	407	0	592.213	cd01359	Argininosuccinate_lyase	 - 	cl00013
Q#33 - >ARLY_LEGPH	superfamily	294018	24	407	0	592.213	cl00013	Lyase_I_like superfamily	 - 	 - 
Q#33 - >ARLY_LEGPH	non-specific	278629	9	303	4.24921e-82	253.037	pfam00206	Lyase_1	 - 	cl00013
Q#33 - >ARLY_LEGPH	non-specific	274128	99	312	1.05673e-18	85.1829	TIGR02426	protocat_pcaB	N	cl00013
Q#33 - >ARLY_LEGPH	non-specific	168324	99	288	4.64965e-09	56.2163	PRK05975	PRK05975	N	cl00013
Q#33 - >ARLY_LEGPH	multi-dom	179143	1	407	0	693.048	PRK00855	PRK00855	 - 	 - 
Q#33 - >ARLY_LEGPH	multi-dom	223243	1	407	0	604.631	COG0165	ArgH	 - 	 - 
Q#33 - >ARLY_LEGPH	multi-dom	129918	5	407	0	569.679	TIGR00838	argH	 - 	 - 
Q#34 - >Q5ZY76_LEGPH	specific	278609	219	369	3.00647e-66	205.508	pfam00185	OTCace	 - 	cl21454
